r,m,P
4269570.0,3.089258133819484e+30,9.769653925748548e+27
4279570.0,3.1108632659015853e+30,9.768588431002396e+27
4289570.0,3.1325678284376804e+30,9.767520583278642e+27
4299570.0,3.154372037344687e+30,9.766450383534721e+27
4309570.0,3.1762761084271177e+30,9.765377832730052e+27
4319570.0,3.198280257376848e+30,9.764302931826039e+27
4329570.0,3.2203846997728853e+30,9.763225681786069e+27
4339570.0,3.2425896510811356e+30,9.762146083575513e+27
4349570.0,3.264895326654171e+30,9.761064138161721e+27
4359570.0,3.2873019417310003e+30,9.759979846514018e+27
4369570.0,3.309809711436834e+30,9.75889320960371e+27
4379570.0,3.332418850782856e+30,9.757804228404077e+27
4389570.0,3.3551295746659924e+30,9.756712903890369e+27
4399570.0,3.3779420978686783e+30,9.75561923703981e+27
4409570.0,3.4008566350586283e+30,9.754523228831594e+27
4419570.0,3.423873400788607e+30,9.753424880246883e+27
4429570.0,3.4469926094961974e+30,9.752324192268804e+27
4439570.0,3.4702144755035714e+30,9.75122116588245e+27
4449570.0,3.4935392130172587e+30,9.750115802074876e+27
4459570.0,3.51696703612792e+30,9.749008101835098e+27
4469570.0,3.540498158810113e+30,9.747898066154093e+27
4479570.0,3.564132794922068e+30,9.746785696024795e+27
4489570.0,3.587871158205456e+30,9.745670992442094e+27
4499570.0,3.6117134622851597e+30,9.744553956402833e+27
4509570.0,3.635659920669046e+30,9.743434588905811e+27
4519570.0,3.659710746747737e+30,9.742312890951773e+27
4529570.0,3.683866153794382e+30,9.741188863543417e+27
4539570.0,3.708126354964428e+30,9.740062507685389e+27
4549570.0,3.732491563295395e+30,9.738933824384276e+27
4559570.0,3.756961991706645e+30,9.737802814648615e+27
4569570.0,3.781537852999157e+30,9.736669479488879e+27
4579570.0,3.806219359855297e+30,9.735533819917484e+27
4589570.0,3.831006724838596e+30,9.734395836948787e+27
4599570.0,3.8559001603935166e+30,9.733255531599079e+27
4609570.0,3.8808998788452324e+30,9.732112904886585e+27
4619570.0,3.906006092399397e+30,9.730967957831467e+27
4629570.0,3.9312190131419224e+30,9.729820691455817e+27
4639570.0,3.956538853038748e+30,9.728671106783656e+27
4649570.0,3.9819658239356177e+30,9.727519204840933e+27
4659570.0,4.007500137557856e+30,9.726364986655523e+27
4669570.0,4.0331420055101384e+30,9.725208453257228e+27
4679570.0,4.0588916392762703e+30,9.72404960567777e+27
4689570.0,4.0847492502189596e+30,9.722888444950794e+27
4699570.0,4.1107150495795926e+30,9.721724972111861e+27
4709570.0,4.13678924847801e+30,9.720559188198453e+27
4719570.0,4.162972057912283e+30,9.719391094249963e+27
4729570.0,4.189263688758487e+30,9.718220691307703e+27
4739570.0,4.215664351770482e+30,9.717047980414894e+27
4749570.0,4.242174257579684e+30,9.715872962616668e+27
4759570.0,4.2687936166948444e+30,9.714695638960063e+27
4769570.0,4.2955226395018276e+30,9.713516010494026e+27
4779570.0,4.3223615362633863e+30,9.712334078269408e+27
4789570.0,4.349310517118939e+30,9.711149843338962e+27
4799570.0,4.376369792084347e+30,9.709963306757343e+27
4809570.0,4.403539571051695e+30,9.708774469581107e+27
4819570.0,4.430820063789065e+30,9.707583332868703e+27
4829570.0,4.458211479940317e+30,9.706389897680479e+27
4839570.0,4.4857140290248664e+30,9.705194165078676e+27
4849570.0,4.513327920437462e+30,9.703996136127427e+27
4859570.0,4.5410533634479667e+30,9.702795811892752e+27
4869570.0,4.568890567201135e+30,9.701593193442565e+27
4879570.0,4.596839740716392e+30,9.700388281846661e+27
4889570.0,4.624901092887614e+30,9.699181078176724e+27
4899570.0,4.6530748324829067e+30,9.697971583506317e+27
4909570.0,4.681361168144387e+30,9.696759798910885e+27
4919570.0,4.709760308387961e+30,9.695545725467753e+27
4929570.0,4.738272461603105e+30,9.694329364256122e+27
4939570.0,4.7668978360526474e+30,9.69311071635707e+27
4949570.0,4.7956366398725477e+30,9.691889782853545e+27
4959570.0,4.8244890810716776e+30,9.69066656483037e+27
4969570.0,4.853455367531604e+30,9.689441063374236e+27
4979570.0,4.882535707006368e+30,9.688213279573701e+27
4989570.0,4.911730307122268e+30,9.686983214519191e+27
4999570.0,4.941039375377642e+30,9.685750869302994e+27
